NET	name	Var3	Var4	z	z_1
SUN	001	976.559566544	5768.3178566401	153.2241556052	153.2241556052
SUN	002	1095.983565268	6238.4970225198	159.643274982	159.643274982
SUN	003	1293.455999097	6639.1065606801	156.7160365172	156.7160365172
SUN	004	1419.763642398	6780.76532494	152.7679601444	152.7679601444
SUN	005	1454.797106734	6922.0569061199	150.3886942496	150.3886942496
SUN	006	1387.862301025	7074.4261934701	157.3644769339	157.3644769339
SUN	007	1320.145374914	7259.3358240901	153.335110147	153.335110147
SUN	008	1306.673315	7379.5196651202	158.0974077937	158.0974077937
SUN	009	1279.153441045	7590.2808966199	158.5925640643	158.5925640643
SUN	010	1263.739630485	7783.62443149	150.9799765977	150.9799765977
SUN	011	1594.244919651	7812.93589985	290.472204734	290.472204734
SUN	012	1591.011539327	7655.5862407698	290.9654991283	290.9654991283
SUN	013	1676.229631916	7481.7465873002	287.1545873233	287.1545873233
SUN	014	1602.691448359	7311.5268651298	288.1941559334	288.1941559334
SUN	015	1653.874103287	7093.0923329401	283.0740276886	283.0740276886
SUN	016	1554.872749972	6951.0323250401	289.8324635208	289.8324635208
SUN	017	1459.112096191	6793.5819770601	284.8610523069	284.8610523069
SUN	018	1385.379826294	6623.8089466002	290.1076320243	290.1076320243
SUN	019	1353.888980343	6443.4588976498	289.8387852009	289.8387852009
SUN	020	1416.194648941	6284.2315166402	289.9965122215	289.9965122215
SUN	021	1287.138934746	6092.0186561202	291.5205520008	291.5205520008
SUN	022	1256.530404821	5857.8037490998	291.8527441678	291.8527441678
SUN	023	1735.924260806	8138.8615593701	343.676926511	343.676926511
SUN	024	1697.151714305	7989.0184720499	344.7430179227	344.7430179227
SUN	025	1677.015252997	7850.4768875898	341.9863470051	341.9863470051
SUN	026	1692.572803912	7691.6982398601	339.0954992636	339.0954992636
SUN	027	1052.561587777	6013.8603345999	160.5858307745	160.5858307745
SUN	028	1258.302724261	6447.15732557	150	150
